claim,implementation,config,run_id,data_source,verification_command,actual_result,evidence_status,limitation,priority
"Figure 1 closed form matches the paper (alpha 3.97/2.80/1.82)","simulation/kesten.py:alpha_two_heuristics","configs/simulation/figure1.yaml","figure1-kesten","results/simulations/kesten/figure1_metrics.json","read figure1_metrics.json closed_form","alpha=3.9734/2.7992/1.8193","confirmed by existing artefact","agreement of a numerical root with rounded printed numbers is not a test of the estimators",P3
"Archived Kesten numbers reproduce exactly","simulation/kesten.py:simulate","configs/simulation/figure1.yaml","figure1-kesten","results/simulations/kesten/figure1_metrics.json","audit/kesten_k_selector.py panel A","hill 0.2610 moment 0.1522 gpd 0.1390 = archived to 4 dp","reproduced during audit","only p=0.02 and p=0.05 rechecked",P3
"Estimators recover the truth on simulated data","stats/{hill,moment,gpd}.py","configs/simulation/figure1.yaml","figure1-kesten","results/simulations/kesten/figure1_metrics.json","audit/kesten_k_selector.py panel B","at p=0.02 selector gives 0.153 vs truth 0.2517; neighbouring k give 0.23-0.33","refuted during audit","holds for p>=0.05 only, and only at a fortunate k",P1
"The p=0.02 undershoot is caused by short traces","previous report section 3","n/a","n/a","audit/kesten_diag.py","trace length 16/64/256/1024 at equal total steps","moment 0.312/0.265/0.306/0.266 - length is irrelevant","refuted during audit","tested at k=0.2% of n",P1
"At p=0 negative moment/GPD means a bounded tail","previous report section 3","n/a","n/a","audit/kesten_diag.py panel 4","chi distribution, Gumbel domain, max Z=6.734","true gamma=0, support unbounded; negative estimates are bias","refuted during audit","analytic argument plus one simulated draw",P1
"P4: xi declines monotonically through training (rho=-0.83)","experiments/p4_grokking.py:analyse_p4","configs/grokking/modular_addition.yaml","p4-grokking-seed0/1/2","results/full/grokking*/p4_grokking_seed*.csv","audit/p4_xi_vs_hill.py","rho(step,hill)=-0.83 but rho(step,xi)=-0.07; xi>0 in 0.2-7.5% of checkpoints","refuted during audit","xi computed as max(moment,0) per the paper's definition",P0
"P4 analysis reports gamma","experiments/p4_grokking.py:331","configs/grokking/modular_addition.yaml","all P4 runs","source code","read analyse_p4","fields named gamma_* are computed from c.hill","confirmed by code inspection","Hill is >=0 by construction and cannot express a light tail",P0
"The P4 decline reflects circuit formation","experiments/p4_grokking.py","configs/grokking/shuffled_null.yaml","8462001","results/full/grokking_null/","audit/p4_backends.py","null mean rho=-0.754 vs CUDA -0.827; test_acc stays at chance","refuted during audit","3 seeds per condition",P0
"The P4 spike was an MPS numerical artefact","previous report section 4","n/a","n/a","results/full/grokking*","audit/p4_backends.py","independent training differs across backends; single-checkpoint comparison never run","reported previously but not verified","test (A) of the brief was never performed",P2
"Cluster manifests now carry the commit","scripts/slurm/common.sh","n/a","8462000, 8462001","obj-sample-8462000.out","head of job logs; audit/gitprobe.sbatch","GPU nodes have git 1.8.3.1 without -C; commit=None in every GPU run","refuted during audit","confirmed on gn34 and cn68",P0
"Executed code matches the recorded commit","editable install","n/a","all cluster runs",".venvc/.../_editable_impl_onebigjump.pth","read .pth and onebigjump.__file__","points at working tree; no frozen copy","confirmed by code inspection","only establishes the path, not that the tree was clean",P3
"Every artefact is traceable to its run","manifests.py","n/a","all","results/**/manifest.json","audit/check_digests.py","13 of 29 recorded digests no longer match","refuted during audit","includes both Figure 1 figures",P0
"paper_outputs is not hand-entered","manifests.py:3","n/a","all","paper_outputs/","read p4_grokking.py:461 and current seed0 json","filenames keyed by seed only; null run currently occupies P4 slots","refuted during audit","git retains the earlier version",P0
"The Lean verifier gives real labels","lean/verifier.py","configs/lean/verify_pilot.yaml","lean-verify-pilot","results/pilot/lean/traces.jsonl","read traces.jsonl","10 hand-written toy theorems; nested have kept as one step; t* from Lean messages","confirmed by existing artefact","not a benchmark; no branching constructs exercised",P2
"t* is decided by Lean, not by a Z threshold","lean/verifier.py","configs/lean/verify_pilot.yaml","lean-verify-pilot","results/pilot/lean/traces.jsonl","read step messages","nat_chain t*=2 with a type-mismatch message","confirmed by existing artefact","true for the Lean path; in Kesten t* IS a threshold by construction",P3
"sorryAx is checked","lean/verifier.py:401","n/a","n/a","source code","grep sorryAx","only the literal string sorry plus proofStatus; admit not handled","confirmed by code inspection","no sorryAx test case exists",P1
"whole-proof result is reconciled with replay","lean/batch.py:182","n/a","n/a","source code","grep whole_proof_ok","comparison against t.verified is present","confirmed by code inspection","behaviour on disagreement not exercised",P3
"1086 benchmark problems are usable","scripts/fetch_problems.py","n/a","n/a","data/raw/benchmarks.json","read benchmarks.json","142 of 272 PutnamBench need a solution term and cannot verify","confirmed by existing artefact","<=944 usable",P2
"Benchmark snapshot is pinned","scripts/fetch_problems.py:88","n/a","n/a","source code","grep revision","load_dataset called without revision=","confirmed by code inspection","no source commit or download date recorded",P1
